PANTONENAME,UNIQUECODE,L,a,b
2175 C,10699,44,2,-56
2176 C,10700,73,-5,-8
2177 C,10701,64,-10,-11
2178 C,10702,57,-11,-12
2179 C,10703,49,-12,-14
218 C,10704,63,52,-14
2180 C,10705,43,-13,-15
2181 C,10706,36,-14,-14
2182 C,10707,29,-13,-16
2183 C,10708,56,-22,-32
2184 C,10709,52,-8,-51
2185 C,10710,46,-16,-34
2186 C,10711,30,0,-41
2187 C,10712,28,-4,-34
2188 C,10713,26,-7,-29
2189 C,10714,19,-9,-19
219 C,10715,49,72,-7
2190 C,10716,70,-19,-33
2191 C,10717,62,-20,-43
2192 C,10718,56,-12,-48
2193 C,10719,56,-12,-48
2194 C,10720,53,-9,-51
2195 C,10721,48,-3,-54
2196 C,10722,42,-5,-46
2197 C,10723,79,-26,-20
2198 C,10724,75,-31,-24
2199 C,10725,69,-32,-29
220 C,10726,36,60,4
2200 C,10727,63,-30,-26
2201 C,10728,65,-28,-32
2202 C,10729,63,-21,-40
2203 C,10730,52,-21,-30
2204 C,10731,80,-10,-9
2205 C,10732,70,-12,-14
2206 C,10733,63,-11,-15
2207 C,10734,61,-14,-18
2208 C,10735,54,-13,-20
2209 C,10736,53,-15,-20
221 C,10737,31,54,3
2210 C,10738,31,-11,-27
2211 C,10739,61,-14,-11
2212 C,10740,52,-16,-13
2213 C,10741,44,-19,-12
2214 C,10742,43,-19,-13
2215 C,10743,34,-12,-13
2216 C,10744,31,-10,-11
2217 C,10745,22,-17,-9
2218 C,10746,68,-18,-14
2219 C,10747,63,-21,-16
222 C,10748,25,37,-5
2220 C,10749,58,-22,-17
2221 C,10750,53,-24,-19
2222 C,10751,50,-24,-20
2223 C,10752,45,-23,-21
2224 C,10753,41,-21,-21
2225 C,10754,80,-27,-16
2226 C,10755,75,-35,-19
2227 C,10756,71,-28,-16
2228 C,10757,62,-31,-24
2229 C,10758,59,-29,-24
223 C,10759,73,39,-15
2230 C,10760,53,-27,-21
2231 C,10761,47,-24,-21
2232 C,10762,68,-21,-9
2233 C,10763,64,-24,-12
2234 C,10764,61,-25,-12
2235 C,10765,56,-29,-14
2236 C,10766,55,-27,-16
2237 C,10767,50,-29,-14
2238 C,10768,40,-23,-15
2239 C,10769,75,-50,0
224 C,10770,64,55,-18
2240 C,10771,70,-49,4
2241 C,10772,62,-27,0
2242 C,10773,60,-47,13
2243 C,10774,55,-41,4
2244 C,10775,48,-33,1
2245 C,10776,49,-42,17
2246 C,10777,82,-20,7
2247 C,10778,72,-31,12
2248 C,10779,69,-30,13
2249 C,10780,64,-33,13
225 C,10781,51,75,-15
2250 C,10782,64,-52,20
2251 C,10783,62,-51,21
2252 C,10784,60,-54,36
2253 C,10785,89,-20,11
2254 C,10786,84,-24,16
2255 C,10787,78,-34,22
2256 C,10788,71,-47,31
2257 C,10789,62,-55,36
2258 C,10790,48,-48,41
2259 C,10791,41,-42,33
226 C,10792,45,71,0
2260 C,10793,80,-14,13
2261 C,10794,72,-17,16
2262 C,10795,67,-17,14
2263 C,10796,59,-19,17
2264 C,10797,58,-24,23
2265 C,10798,49,-20,20
2266 C,10799,33,-21,23
2267 C,10800,83,-34,28
2268 C,10801,79,-45,36
2269 C,10802,75,-39,39
227 C,10803,37,62,-4
2270 C,10804,71,-60,48
2271 C,10805,66,-61,53
2272 C,10806,55,-54,51
2273 C,10807,42,-38,33
2274 C,10808,86,-11,19
2275 C,10809,85,-18,32
2276 C,10810,65,-22,42
2277 C,10811,56,-36,51
2278 C,10812,49,-29,43
2279 C,10813,49,-23,40
228 C,10814,31,52,-9
2280 C,10815,41,-21,36
2281 C,10816,90,-15,35
2282 C,10817,88,-22,36
2283 C,10818,84,-35,55
2284 C,10819,82,-23,39
2285 C,10820,80,-40,60
2286 C,10821,74,-45,71
2287 C,10822,71,-52,68
2288 C,10823,87,-21,48
2289 C,10824,84,-18,44
229 C,10825,25,34,-6
2290 C,10826,82,-34,75
2291 C,10827,80,-33,76
2292 C,10828,75,-35,71
2293 C,10829,73,-36,71
2294 C,10830,64,-33,64
2295 C,10831,91,-15,46
2296 C,10832,89,-20,60
2297 C,10833,84,-27,79
2298 C,10834,83,-28,59
2299 C,10835,79,-32,67
230 C,10836,77,35,-13
2300 C,10837,75,-23,59
2301 C,10838,67,-24,63
2302 C,10839,73,-13,41
2303 C,10840,70,-18,44
2304 C,10841,68,-15,46
2305 C,10842,66,-16,66
2306 C,10843,56,-15,50
2307 C,10844,45,-11,45
2308 C,10845,36,-2,32
2309 C,10846,84,6,16
231 C,10847,67,54,-20
2310 C,10848,79,6,15
2311 C,10849,71,10,22
2312 C,10850,66,7,17
2313 C,10851,65,14,30
2314 C,10852,54,17,35
2315 C,10853,40,28,44
2316 C,10854,66,9,21
2317 C,10855,60,14,29
2318 C,10856,53,15,31
2319 C,10857,44,16,33
232 C,10858,56,71,-20
2320 C,10859,35,15,28
2321 C,10860,37,10,19
2322 C,10861,25,9,15
2323 C,10862,72,-2,13
